question,answer
"What preference does the Government of India give regarding satellite use from Indian soil?","Proposals using Indian satellites are given preferential treatment over foreign satellites."
"Which ministry determines operating license conditions for GMPCS services?","The Department of Telecommunications determines GMPCS operating license conditions."
"What legislation governs broadcasting conditions for TV and sound services?","Broadcasting conditions are governed by the Broadcast Bill passed by Parliament."
"What type of satellite system is INSAT?","INSAT is a multi-agency, multi-purpose satellite system providing telecommunications, broadcasting, and meteorological services."
"Which organizations jointly operate the INSAT program?","The Department of Space, Department of Telecommunications, Department of Science and Technology, and Ministry of Information and Broadcasting."
"Which committee manages the INSAT programme?","The INSAT Coordination Committee (ICC)."
"Which group provides technical support to the INSAT Coordination Committee?","The Technical Advisory Group (TAG)."
"Who are the predominant users of INSAT communication capacity?","Department of Telecommunications, Doordarshan, and All India Radio."
"What financial approach must INSAT commercial operations follow?","They must operate on a for-profit basis."
"Which committee determines policies regarding the INSAT system?","The INSAT Coordination Committee (ICC)."
"What are the four main user sectors for INSAT capacity?","Telecommunications, broadcasting, education and developmental communications, and security communications."
"Why is education considered a separate user sector?","Because future usage by the education sector is expected to grow significantly."
"Which sector includes communications for the Defence Ministry?","Security communications."
"Which organization allocates INSAT transponders for government users?","The INSAT Coordination Committee (ICC)."
"Who continues to receive INSAT capacity allocations under existing practices?","Department of Telecommunications, Doordarshan, and All India Radio."
"What must non-government parties obtain before operating services using INSAT capacity?","Operating and frequency/siting licenses from relevant authorities."
"Who is responsible for obtaining service licenses when leasing INSAT capacity?","The party leasing the capacity."
"Which organization conducts commercial activities of the INSAT space segment?","The Department of Space/INSAT."
"What type of agreement governs the use of INSAT capacity by non-government parties?","A formal lease agreement with the Department of Space/INSAT."
"How may INSAT capacity be allocated if demand exceeds availability?","Through transparent methods such as auctions, negotiations, or first-come-first-served."
"Can foreign parties use INSAT capacity?","Yes, INSAT capacity may be made available to foreign parties."
"What international regulations must operations outside India comply with when using INSAT capacity?","UN and ITU treaties, agreements, and regulations."
"Who manages additional INSAT capacity requested by private parties?","The Department of Space/INSAT."
"What must be ensured before adding extra capacity to INSAT satellites?","It must not adversely affect government capacity requirements."
"Which department acts as the administrative ministry for satellite systems?","The Department of Space."
"What defines an Indian satellite according to the policy?","A satellite registered, coordinated, and notified by the Indian administration under ITU regulations."
"How many authorizations are required to establish an Indian satellite system?","Three authorizations."
"Which authority authorizes the ownership and operation of Indian satellite systems?","The Department of Space."
"Which organization authorizes the operation of a space station under ITU regulations?","The Wireless Planning and Coordination Wing (WPC)."
"What laws govern broadcasting and telecommunications operating licenses?","The Broadcast Act and the Telegraph Act."
"Which committee acts as the single window clearance for Indian satellite systems?","The Committee for Authorising the Establishment and Operation of Indian Satellite Systems (CAISS)."
"Who chairs the CAISS committee?","The Secretary of the Department of Space."
"What is the maximum permitted foreign direct investment in Indian satellite system companies?","74 percent."
"Who must apply to establish an Indian satellite system?","An Indian registered company."
"What must applicants demonstrate to obtain satellite system authorization?","Technical, financial, and legal capability to construct and operate the system."
"Where should the Satellite Control Centre typically be located?","Within the territory of India."
"Within how long must foreign-located control centres be moved to India?","Within two years."
"Who regulates the satellite control centre in case of radio interference?","The Wireless Planning and Coordination Wing."
"What principle determines authorization priority when orbit spectrum conflicts occur?","Preference is given to government-owned systems."
"What additional preference is given when competing private proposals exist?","Systems using satellites built or launched in India are preferred."
"Who bears the cost of ITU filing and coordination procedures?","The applicant."
"What must applicants submit annually after approval?","Progress reports on physical and financial development of the system."
"What may happen if progress in establishing the satellite system is unsatisfactory?","The license may be cancelled."
"What authority can inspect spacecraft before launch?","The Department of Space."
"What happens if licensing procedures are not followed properly?","The satellite authorization and ITU notification may be cancelled."
"Under what circumstances can the government take control of a satellite system?","During emergencies, war, or national security situations."
"When may foreign satellites be used from Indian soil?","Only in special cases notified by the government."
"What must happen when Indian satellite capacity becomes available for services currently using foreign satellites?","The service must shift to Indian satellites."
"What are the two broad categories of satellite communication services?","International communications and domestic communications."
"What types of services fall under value-added satellite services?","VSAT networks, video conferencing, internet services, multimedia communications, and data broadcasting."
